po_id,warehouse_id,supplier_id,order_date,product_category,order_priority,quantity_ordered,total_cost
PO000043,W027,SUP0067,2024-01-22,Home & Kitchen,Urgent,189,102786.65
PO000044,W015,SUP0008,2024-04-06,Apparel,Standard,345,95149.78
PO000045,W009,SUP0054,2026-01-05,Electronics,Standard,243,615640.82
PO000046,W010,SUP0114,2025-01-09,Electronics,Bulk,2226,4649660.6
PO000047,W030,SUP0148,2024-12-16,Apparel,Urgent,168,51206.88
PO000048,W002,SUP0124,2026-04-27,Apparel,Standard,606,224081.86
PO000049,W028,SUP0102,2024-12-19,Stationery,Urgent,80,3476.93
PO000050,W027,SUP0085,2025-04-24,Home & Kitchen,Standard,229,123602.34
PO000051,W006,SUP0046,2024-02-11,Electronics,Urgent,227,519820.66
PO000052,W009,SUP0060,2024-02-20,Electronics,Standard,145,292356.89
PO000053,W018,SUP0073,2026-08-01,Apparel,Bulk,992,357488.05
PO000054,W027,SUP0069,2026-07-20,Apparel,Standard,351,120113.32
PO000055,W030,SUP0072,2025-12-14,Home & Kitchen,Bulk,1179,523122.58
PO000056,W030,SUP0077,2025-11-14,Home & Kitchen,Urgent,109,46328.13
PO000057,W007,SUP0011,2025-01-18,Furniture,Standard,256,1048256.39
PO000058,W005,SUP0115,2025-11-02,Grocery,Bulk,1636,110458.37
PO000059,W015,SUP0135,2025-07-29,Home & Kitchen,Bulk,2013,963944.84
PO000060,W017,SUP0110,2024-11-22,Grocery,Urgent,316,22313.09
PO000061,W021,SUP0067,2024-02-25,Apparel,Standard,293,105088.27
PO000062,W002,SUP0031,2025-03-07,Apparel,Bulk,4157,1162000.02
PO000063,W021,SUP0096,2025-11-27,Electronics,Urgent,357,937197.85
PO000064,W029,SUP0150,2025-05-01,Personal Care,Standard,219,32977.19
PO000065,W029,SUP0083,2024-08-05,Furniture,Urgent,238,709444.57
PO000066,W030,SUP0046,2025-12-01,Home & Kitchen,Bulk,1222,543380.87
PO000067,W029,SUP0017,2024-05-04,Grocery,Standard,546,33014.61
PO000068,W030,SUP0140,2026-02-01,Grocery,Standard,346,22948.16
PO000069,W001,SUP0030,2024-03-27,Electronics,Urgent,275,611777.76
PO000070,W029,SUP0047,2026-08-12,Furniture,Bulk,931,3587685.2
PO000071,W006,SUP0013,2024-01-12,Grocery,Bulk,1152,68161.45
PO000072,W008,SUP0087,2024-11-15,Home & Kitchen,Standard,1046,533777.25
PO000073,W013,SUP0097,2024-11-19,Electronics,Urgent,244,544546.41
PO000074,W030,SUP0030,2024-06-19,Grocery,Bulk,3475,246835.31
PO000075,W019,SUP0143,2024-06-16,Home & Kitchen,Standard,839,451985.81
PO000076,W009,SUP0139,2025-04-08,Stationery,Bulk,3235,138636.3
PO000077,W010,SUP0058,2024-03-03,Home & Kitchen,Urgent,327,151656.95
PO000078,W029,SUP0086,2025-09-12,Home & Kitchen,Standard,359,182727.79
PO000079,W027,SUP0125,2024-11-12,Apparel,Bulk,2516,790496.52
PO000080,W004,SUP0149,2025-12-02,Electronics,Bulk,2419,6027569.16
PO000081,W006,SUP0047,2024-10-17,Home & Kitchen,Standard,598,286430.04
PO000082,W010,SUP0078,2025-08-23,Furniture,Bulk,846,2815859.2
PO000083,W005,SUP0013,2024-05-24,Personal Care,Bulk,1704,225641.27
PO000084,W018,SUP0098,2026-05-21,Personal Care,Standard,1073,145923.5
PO000085,W006,SUP0079,2024-03-28,Apparel,Standard,831,244686.47
PO000086,W018,SUP0013,2026-02-07,Home & Kitchen,Bulk,3035,1547725.26
PO000087,W030,SUP0053,2025-11-24,Electronics,Urgent,150,348227.85
PO000088,W027,SUP0040,2024-01-10,Personal Care,Standard,229,33267.16
PO000089,W002,SUP0026,2025-03-05,Personal Care,Standard,1117,182014.62
PO000090,W005,SUP0096,2026-06-25,Personal Care,Standard,1086,160594.53
PO000091,W012,SUP0084,2024-07-12,Grocery,Standard,643,37692.24
PO000092,W021,SUP0132,2026-03-03,Electronics,Bulk,1720,3542606.13
PO000093,W010,SUP0126,2026-08-02,Stationery,Standard,267,11775.71
PO000094,W006,SUP0119,2025-04-19,Personal Care,Standard,112,15220.93
PO000095,W009,SUP0046,2025-06-15,Home & Kitchen,Standard,469,269387.96
PO000096,W005,SUP0002,2026-06-05,Apparel,Urgent,129,38867.55
PO000097,W027,SUP0012,2026-03-08,Grocery,Standard,965,64763.3
PO000098,W023,SUP0150,2026-04-18,Home & Kitchen,Standard,127,59045.56
PO000099,W011,SUP0091,2024-07-04,Electronics,Standard,121,278201.12
PO000100,W023,SUP0027,2026-06-10,Home & Kitchen,Standard,181,100089.2
PO000101,W016,SUP0066,2025-10-17,Electronics,Standard,234,483921.16
PO000102,W016,SUP0118,2025-08-01,Grocery,Standard,1087,64410.71
PO000103,W010,SUP0087,2025-04-04,Personal Care,Standard,531,88992.45
PO000104,W015,SUP0143,2024-08-15,Grocery,Bulk,3383,176744.2
PO000105,W030,SUP0103,2025-07-20,Furniture,Bulk,885,2912474.36
PO000106,W026,SUP0012,2025-06-09,Home & Kitchen,Urgent,267,111437.52
PO000107,W027,SUP0147,2024-05-28,Electronics,Standard,457,1092780.53
PO000108,W003,SUP0105,2024-11-01,Apparel,Standard,265,86051.13
PO000109,W015,SUP0085,2025-06-19,Grocery,Standard,1035,61036.61
PO000110,W009,SUP0043,2025-03-27,Grocery,Standard,75,4561.94
PO000111,W002,SUP0026,2024-09-22,Personal Care,Standard,501,61528.58
PO000112,W011,SUP0062,2025-09-25,Furniture,Bulk,1644,6458348.84
PO000113,W001,SUP0096,2024-04-09,Furniture,Standard,94,352006.88
PO000114,W006,SUP0044,2025-04-08,Stationery,Standard,528,24167.21
PO000115,W027,SUP0061,2025-10-05,Electronics,Standard,166,333458.23
PO000116,W022,SUP0146,2025-04-07,Apparel,Standard,355,107151.94
PO000117,W023,SUP0136,2025-02-25,Grocery,Standard,657,38122.22
PO000118,W001,SUP0141,2024-12-29,Grocery,Standard,984,68847.07
PO000119,W004,SUP0064,2024-04-26,Grocery,Standard,482,30249.74
PO000120,W001,SUP0122,2026-08-11,Electronics,Standard,462,1209256.9
PO000121,W002,SUP0109,2025-03-18,Stationery,Bulk,2450,97477.28
PO000122,W002,SUP0113,2024-10-23,Electronics,Standard,651,1289728.91
PO000123,W030,SUP0079,2025-10-17,Grocery,Bulk,3292,203203.55
PO000124,W028,SUP0017,2025-03-29,Grocery,Bulk,4813,274409.75
PO000125,W005,SUP0031,2025-01-03,Apparel,Bulk,2288,693279.77
PO000126,W006,SUP0053,2024-07-04,Grocery,Standard,521,34356.82
PO000127,W030,SUP0043,2024-07-20,Home & Kitchen,Bulk,4558,2442609.33
PO000128,W018,SUP0068,2024-06-28,Grocery,Urgent,382,24523.38
PO000129,W010,SUP0090,2024-07-15,Apparel,Standard,184,64313.74
PO000130,W014,SUP0084,2025-06-16,Electronics,Urgent,48,108922.25
PO000131,W006,SUP0032,2024-12-21,Electronics,Bulk,4538,8801696.47
PO000132,W018,SUP0099,2025-02-23,Furniture,Standard,595,1951133.8
PO000133,W024,SUP0085,2026-01-01,Personal Care,Standard,384,58909.67
PO000134,W015,SUP0009,2025-08-11,Apparel,Standard,1114,419306.61
PO000135,W027,SUP0032,2025-06-12,Grocery,Standard,551,37549.13
PO000136,W002,SUP0115,2026-06-05,Furniture,Bulk,3624,13339878.52
PO000137,W019,SUP0022,2026-07-08,Grocery,Bulk,4553,274888.36
PO000138,W030,SUP0102,2024-01-27,Apparel,Standard,92,27533.41
PO000139,W004,SUP0006,2024-03-31,Grocery,Standard,260,14963.04
PO000140,W015,SUP0125,2025-07-22,Personal Care,Standard,247,40604.15
PO000141,W020,SUP0003,2026-01-26,Grocery,Standard,1000,61981.14
PO000142,W009,SUP0098,2025-12-20,Apparel,Standard,242,85260.23
PO000143,W030,SUP0011,2024-09-01,Grocery,Standard,1075,72016.12
PO000144,W015,SUP0127,2024-04-22,Grocery,Standard,330,20583.27
PO000145,W014,SUP0045,2024-08-20,Furniture,Standard,996,3874000.46
PO000146,W029,SUP0012,2024-06-17,Stationery,Standard,846,41604.96
PO000147,W001,SUP0084,2025-09-03,Personal Care,Standard,860,143236.52
PO000148,W027,SUP0137,2024-02-23,Personal Care,Standard,542,86768.7
PO000149,W003,SUP0041,2026-01-02,Apparel,Bulk,3126,1135628.4
PO000150,W010,SUP0062,2026-05-17,Apparel,Standard,350,132748.15
PO000151,W015,SUP0115,2024-12-27,Grocery,Standard,73,4281.67
PO000152,W014,SUP0096,2025-06-27,Grocery,Standard,461,28397.72
PO000153,W001,SUP0082,2024-01-22,Grocery,Standard,863,58086.95
PO000154,W008,SUP0015,2025-04-09,Home & Kitchen,Bulk,829,343019.29
PO000155,W009,SUP0026,2025-12-23,Home & Kitchen,Bulk,2739,1406602.19
PO000156,W030,SUP0013,2026-04-05,Furniture,Urgent,148,462364.14
PO000157,W029,SUP0007,2025-04-01,Apparel,Bulk,2855,812706.9
PO000158,W018,SUP0078,2024-12-21,Home & Kitchen,Standard,1102,616501.5
PO000159,W030,SUP0041,2024-03-27,Apparel,Standard,353,113410.94
PO000160,W027,SUP0082,2025-06-07,Grocery,Standard,882,55675.58
PO000161,W010,SUP0106,2024-10-07,Grocery,Standard,1168,66611.64
PO000162,W002,SUP0058,2025-04-10,Home & Kitchen,Urgent,352,166481.02
PO000163,W019,SUP0078,2025-07-15,Home & Kitchen,Standard,1172,537973.56
PO000164,W008,SUP0126,2025-05-04,Apparel,Standard,546,168916.37
PO000165,W001,SUP0020,2024-07-12,Apparel,Standard,861,235337.43
PO000166,W030,SUP0013,2024-12-27,Grocery,Bulk,3153,197660.68
PO000167,W030,SUP0096,2025-05-18,Grocery,Bulk,2270,129856.69
PO000168,W016,SUP0035,2026-03-01,Grocery,Urgent,330,22867.92
PO000169,W020,SUP0085,2025-08-28,Home & Kitchen,Standard,950,444116.49
PO000170,W022,SUP0102,2026-02-20,Grocery,Standard,366,21869.15
PO000171,W030,SUP0011,2026-06-01,Electronics,Urgent,335,783994.65
PO000172,W014,SUP0078,2024-10-10,Personal Care,Standard,1023,135205.26
PO000173,W018,SUP0129,2025-10-07,Home & Kitchen,Bulk,1542,736134.89
PO000174,W006,SUP0090,2024-04-15,Grocery,Bulk,1462,89848.01
PO000175,W006,SUP0132,2026-03-07,Grocery,Bulk,2788,193286.43
PO000176,W016,SUP0071,2025-09-13,Grocery,Bulk,4251,242516.67
PO000177,W006,SUP0015,2024-12-27,Electronics,Standard,1187,2763898.38
PO000178,W001,SUP0089,2025-10-25,Electronics,Bulk,4592,9933042.62
PO000179,W010,SUP0032,2024-11-03,Grocery,Standard,346,20811.4
PO000180,W025,SUP0017,2025-01-21,Apparel,Standard,726,223806.27
PO000181,W007,SUP0076,2026-05-13,Home & Kitchen,Standard,717,317146.31
PO000182,W027,SUP0024,2025-03-12,Furniture,Bulk,709,2150479.63
PO000183,W023,SUP0120,2025-08-01,Furniture,Standard,1148,4503047.17
PO000184,W021,SUP0068,2025-07-05,Home & Kitchen,Standard,1109,587942.32
PO000185,W028,SUP0060,2025-03-16,Electronics,Standard,769,1706303.38
PO000186,W001,SUP0101,2024-01-11,Home & Kitchen,Standard,252,120153.4
PO000187,W005,SUP0062,2025-05-27,Electronics,Urgent,313,622478.66
PO000188,W029,SUP0107,2024-07-11,Stationery,Standard,951,47868.98
PO000189,W029,SUP0137,2026-07-09,Stationery,Standard,1135,56757.79
PO000190,W001,SUP0084,2024-04-04,Grocery,Standard,203,13874.36
PO000191,W026,SUP0074,2025-06-08,Grocery,Urgent,170,11132.9
PO000192,W001,SUP0105,2026-04-20,Stationery,Standard,911,43900.95
PO000193,W003,SUP0131,2025-06-20,Electronics,Standard,1084,2772567.09
PO000194,W002,SUP0132,2025-12-16,Grocery,Urgent,328,17462.4
PO000195,W008,SUP0038,2025-08-06,Stationery,Urgent,41,2014.94
PO000196,W010,SUP0138,2025-02-15,Personal Care,Standard,1182,140884.64
PO000197,W029,SUP0102,2024-11-07,Electronics,Standard,81,193139.8
PO000198,W012,SUP0072,2024-07-20,Grocery,Bulk,2679,185638.37
PO000199,W003,SUP0035,2026-07-06,Apparel,Bulk,2126,676159.95
PO000200,W006,SUP0110,2024-05-04,Grocery,Standard,1093,58190.85
PO000201,W001,SUP0149,2024-04-12,Grocery,Bulk,4517,308447.67
PO000202,W001,SUP0115,2025-09-19,Apparel,Bulk,602,209900.08
PO000203,W012,SUP0021,2025-08-15,Electronics,Urgent,201,418501.05
PO000204,W015,SUP0096,2024-02-03,Grocery,Standard,179,10440.49
PO000205,W006,SUP0109,2025-04-05,Home & Kitchen,Standard,500,278805.42
PO000206,W010,SUP0013,2025-08-19,Personal Care,Standard,161,24051.58
PO000207,W002,SUP0070,2024-09-12,Grocery,Standard,405,23332.32
PO000208,W021,SUP0149,2026-07-09,Furniture,Standard,906,3364092.92
PO000209,W010,SUP0082,2026-06-27,Apparel,Bulk,2490,866160.32
PO000210,W004,SUP0083,2025-11-22,Home & Kitchen,Standard,683,324400.72
PO000211,W015,SUP0001,2026-04-26,Apparel,Bulk,2493,702517.81
PO000212,W005,SUP0062,2024-06-23,Electronics,Standard,645,1402836.75
PO000213,W007,SUP0050,2025-01-06,Grocery,Standard,839,48706.88
PO000214,W003,SUP0063,2025-10-28,Grocery,Standard,769,48162.98
PO000215,W026,SUP0121,2025-01-31,Grocery,Standard,535,32178.7
PO000216,W007,SUP0133,2024-10-12,Home & Kitchen,Standard,369,165541.65
PO000217,W030,SUP0061,2024-05-12,Grocery,Standard,311,19485.55
PO000218,W011,SUP0143,2025-04-23,Personal Care,Bulk,1804,247198.4
PO000219,W004,SUP0132,2025-09-06,Home & Kitchen,Standard,476,217978.78
PO000220,W023,SUP0135,2025-05-02,Apparel,Standard,977,339638.3
PO000221,W024,SUP0077,2025-12-24,Stationery,Urgent,245,11638.51
PO000222,W028,SUP0149,2025-01-11,Apparel,Standard,1094,323610.34
PO000223,W003,SUP0150,2026-06-12,Personal Care,Urgent,66,9608.75
PO000224,W026,SUP0107,2024-10-03,Home & Kitchen,Bulk,735,381070.75
PO000225,W027,SUP0105,2025-08-04,Grocery,Standard,226,14822.87
PO000226,W008,SUP0130,2026-03-05,Personal Care,Standard,273,33397.72
PO000227,W013,SUP0140,2026-07-24,Electronics,Standard,658,1328156.38
PO000228,W020,SUP0094,2026-01-05,Electronics,Standard,308,769679.6
PO000229,W006,SUP0078,2025-02-12,Electronics,Standard,1001,2469214.29
PO000230,W027,SUP0092,2026-06-22,Home & Kitchen,Bulk,2765,1210058.28
PO000231,W023,SUP0119,2025-01-10,Home & Kitchen,Urgent,199,111178.63
PO000232,W027,SUP0136,2024-01-26,Home & Kitchen,Urgent,147,84670.51
PO000233,W013,SUP0027,2025-02-14,Electronics,Urgent,113,236671.37
PO000234,W016,SUP0021,2024-10-04,Furniture,Urgent,384,1461057.69
PO000235,W005,SUP0121,2025-02-18,Grocery,Standard,455,30437.75
PO000236,W008,SUP0029,2024-06-08,Electronics,Standard,686,1615311.03
PO000237,W024,SUP0132,2025-08-18,Apparel,Standard,1069,376569.17
PO000238,W030,SUP0070,2024-09-17,Furniture,Urgent,314,1068407.9
PO000239,W004,SUP0010,2024-01-01,Grocery,Bulk,2845,198929.47
PO000240,W001,SUP0004,2026-06-15,Personal Care,Urgent,44,7336.22
PO000241,W001,SUP0017,2025-11-28,Grocery,Bulk,2221,149516.68
PO000242,W012,SUP0101,2024-12-19,Personal Care,Standard,856,143728.71
PO000243,W026,SUP0137,2025-09-22,Personal Care,Standard,234,31848.05
PO000244,W006,SUP0006,2025-03-10,Apparel,Standard,1080,383102.35
PO000245,W014,SUP0024,2026-04-29,Personal Care,Urgent,280,34065.0
PO000246,W015,SUP0131,2025-12-16,Grocery,Urgent,85,5208.78
PO000247,W027,SUP0148,2024-07-12,Grocery,Urgent,306,17284.46
PO000248,W004,SUP0137,2025-07-13,Grocery,Bulk,2433,151874.1
PO000249,W001,SUP0016,2025-05-30,Stationery,Standard,761,34042.04
PO000250,W015,SUP0115,2024-07-25,Home & Kitchen,Standard,1046,544564.52
PO000251,W009,SUP0009,2024-08-31,Home & Kitchen,Standard,961,413577.07
PO000252,W007,SUP0071,2025-10-18,Electronics,Standard,340,789621.56
PO000253,W026,SUP0141,2025-03-14,Electronics,Bulk,4991,10965072.91
PO000254,W022,SUP0002,2024-06-22,Home & Kitchen,Standard,994,545739.44
PO000255,W002,SUP0006,2025-02-19,Personal Care,Standard,642,76787.18
PO000256,W017,SUP0125,2025-05-13,Grocery,Standard,625,35863.74
PO000257,W027,SUP0042,2024-04-23,Home & Kitchen,Standard,281,122263.58
PO000258,W029,SUP0031,2025-03-31,Apparel,Standard,394,131770.76
PO000259,W001,SUP0026,2024-04-22,Grocery,Bulk,4477,236221.78
PO000260,W027,SUP0126,2026-01-04,Electronics,Urgent,155,302835.58
PO000261,W001,SUP0021,2025-05-15,Stationery,Standard,1162,50336.16
PO000262,W022,SUP0145,2025-01-02,Furniture,Urgent,341,1270689.08
PO000263,W019,SUP0039,2026-01-18,Home & Kitchen,Standard,553,232883.96
PO000264,W030,SUP0056,2025-03-25,Grocery,Standard,347,19856.25
PO000265,W020,SUP0012,2024-07-09,Stationery,Standard,395,15744.42
PO000266,W001,SUP0059,2026-01-06,Personal Care,Urgent,187,25729.22
PO000267,W022,SUP0108,2025-10-24,Personal Care,Standard,804,101047.36
PO000268,W006,SUP0009,2026-07-30,Electronics,Bulk,2460,4709537.16
PO000269,W027,SUP0066,2024-04-19,Apparel,Urgent,381,120838.3
PO000270,W001,SUP0053,2024-02-21,Stationery,Standard,1073,53391.92
PO000271,W008,SUP0114,2024-11-02,Home & Kitchen,Urgent,92,48169.48
PO000272,W022,SUP0082,2024-06-16,Grocery,Urgent,225,11898.65
PO000273,W004,SUP0033,2024-02-10,Personal Care,Standard,497,76749.01
PO000274,W021,SUP0134,2024-01-03,Grocery,Urgent,281,16841.55
PO000275,W023,SUP0058,2024-10-17,Grocery,Standard,912,63569.23
PO000276,W024,SUP0101,2024-03-05,Apparel,Urgent,110,41057.27
PO000277,W028,SUP0130,2024-06-17,Electronics,Standard,762,1757923.84
PO000278,W012,SUP0002,2025-04-25,Grocery,Standard,993,59575.9
PO000279,W004,SUP0044,2025-07-01,Furniture,Bulk,3787,15728270.52
PO000280,W006,SUP0039,2025-09-26,Grocery,Bulk,3215,205091.67
PO000281,W010,SUP0047,2024-10-31,Apparel,Standard,804,261976.98
PO000282,W001,SUP0109,2025-10-24,Grocery,Bulk,4845,337149.92
PO000283,W023,SUP0134,2024-01-29,Personal Care,Standard,966,147678.8
PO000284,W001,SUP0037,2024-05-30,Home & Kitchen,Standard,902,422569.14
PO000285,W001,SUP0042,2024-09-03,Apparel,Standard,283,84178.74
PO000286,W030,SUP0060,2026-06-30,Grocery,Urgent,133,9191.05
PO000287,W027,SUP0083,2024-09-16,Home & Kitchen,Standard,565,297827.58
PO000288,W006,SUP0035,2024-08-20,Apparel,Standard,281,99582.38
PO000289,W009,SUP0016,2026-05-12,Apparel,Bulk,1101,398162.85
PO000290,W027,SUP0143,2024-05-17,Furniture,Urgent,385,1540855.42
PO000291,W020,SUP0002,2024-04-27,Home & Kitchen,Bulk,4720,2006715.83
PO000292,W006,SUP0068,2026-04-30,Home & Kitchen,Standard,442,222144.61
PO000293,W013,SUP0021,2026-03-04,Grocery,Standard,167,9935.08
PO000294,W027,SUP0125,2024-02-18,Electronics,Standard,486,1080851.06
PO000295,W001,SUP0111,2024-05-03,Home & Kitchen,Standard,229,117329.66
PO000296,W030,SUP0149,2026-06-12,Grocery,Standard,776,42313.81
PO000297,W018,SUP0013,2026-02-02,Personal Care,Bulk,595,94876.26
PO000298,W005,SUP0040,2024-05-05,Grocery,Standard,1124,79701.3
PO000299,W027,SUP0082,2026-01-09,Apparel,Bulk,3395,961329.12
PO000300,W001,SUP0047,2025-07-16,Electronics,Urgent,37,95553.42
PO000301,W011,SUP0026,2026-01-27,Grocery,Standard,964,49594.86
PO000302,W018,SUP0118,2025-08-18,Apparel,Bulk,4498,1279081.53
PO000303,W006,SUP0136,2026-03-30,Grocery,Standard,643,44591.17
PO000304,W028,SUP0071,2025-11-16,Electronics,Standard,562,1283941.77
PO000305,W023,SUP0083,2025-12-07,Personal Care,Standard,959,114769.51
PO000306,W004,SUP0141,2025-06-26,Stationery,Standard,1041,54132.7
PO000307,W004,SUP0128,2026-03-30,Personal Care,Standard,853,136740.15
PO000308,W001,SUP0044,2024-06-11,Home & Kitchen,Standard,519,287872.4
PO000309,W018,SUP0032,2025-09-17,Apparel,Standard,1131,335032.97
PO000310,W005,SUP0096,2026-07-04,Grocery,Urgent,128,6984.23
PO000311,W017,SUP0118,2025-01-04,Home & Kitchen,Standard,1009,477422.54
PO000312,W027,SUP0027,2024-12-28,Electronics,Standard,1040,2212090.58
PO000313,W028,SUP0109,2024-01-22,Grocery,Bulk,871,55960.33
PO000314,W002,SUP0146,2026-01-14,Home & Kitchen,Standard,609,254967.07
PO000315,W009,SUP0034,2024-09-25,Electronics,Urgent,319,831588.22
PO000316,W012,SUP0014,2025-12-16,Grocery,Urgent,68,4713.76
PO000317,W010,SUP0099,2026-03-03,Apparel,Urgent,70,21885.22
PO000318,W012,SUP0098,2024-10-15,Personal Care,Standard,339,51658.64
PO000319,W013,SUP0019,2024-11-07,Stationery,Standard,792,36642.11
PO000320,W025,SUP0123,2025-10-12,Grocery,Bulk,3825,221937.9
PO000321,W008,SUP0085,2026-05-26,Electronics,Standard,1036,2339158.11
PO000322,W009,SUP0101,2026-07-04,Grocery,Standard,765,41437.76
PO000323,W010,SUP0046,2024-07-29,Grocery,Bulk,4212,250633.42
PO000324,W004,SUP0029,2025-02-09,Apparel,Standard,395,133399.72
PO000325,W020,SUP0140,2024-05-27,Electronics,Standard,1179,2802862.53
PO000326,W011,SUP0124,2024-12-14,Grocery,Standard,213,13479.36
PO000327,W029,SUP0120,2024-11-07,Apparel,Bulk,3424,1303524.28
PO000328,W027,SUP0104,2025-12-07,Apparel,Bulk,1054,385681.53
PO000329,W006,SUP0039,2024-11-22,Furniture,Standard,577,2102844.18
PO000330,W006,SUP0079,2026-02-15,Grocery,Standard,91,5058.2
PO000331,W026,SUP0043,2025-02-13,Apparel,Bulk,2815,1038104.56
PO000332,W018,SUP0018,2025-10-25,Grocery,Standard,166,11823.51
PO000333,W001,SUP0110,2025-09-07,Grocery,Standard,748,49442.28
PO000334,W020,SUP0052,2024-01-06,Grocery,Standard,80,5155.02
PO000335,W011,SUP0054,2026-08-03,Grocery,Standard,105,6785.9
PO000336,W026,SUP0101,2025-02-19,Home & Kitchen,Bulk,1929,805649.31
PO000337,W025,SUP0061,2025-02-28,Personal Care,Standard,735,115411.23
PO000338,W029,SUP0057,2025-09-04,Electronics,Bulk,611,1154680.34
PO000339,W023,SUP0018,2024-11-20,Apparel,Bulk,958,305118.32
PO000340,W029,SUP0076,2025-12-28,Home & Kitchen,Standard,241,99081.13
PO000341,W007,SUP0130,2024-08-03,Grocery,Bulk,1236,72324.22
PO000342,W009,SUP0085,2025-06-09,Apparel,Standard,1186,342969.74
PO000343,W001,SUP0067,2025-09-08,Apparel,Standard,578,209875.76
PO000344,W027,SUP0063,2025-05-04,Personal Care,Bulk,3033,457771.9
PO000345,W004,SUP0107,2025-07-16,Stationery,Standard,619,27199.69
PO000346,W017,SUP0048,2025-06-26,Stationery,Standard,68,3198.76
PO000347,W015,SUP0058,2024-04-12,Home & Kitchen,Bulk,3469,1503116.48
PO000348,W027,SUP0023,2025-10-05,Grocery,Bulk,1236,87355.48
PO000349,W010,SUP0139,2025-10-01,Grocery,Standard,1077,59562.1
PO000350,W004,SUP0040,2026-03-07,Grocery,Bulk,3495,232380.9
PO000351,W010,SUP0008,2026-07-13,Grocery,Urgent,102,6334.04
PO000352,W001,SUP0046,2024-12-25,Personal Care,Standard,1071,138634.13
PO000353,W008,SUP0027,2026-07-23,Electronics,Bulk,4269,8680205.71
PO000354,W020,SUP0009,2026-03-19,Furniture,Standard,81,247468.18
PO000355,W001,SUP0112,2025-10-22,Furniture,Urgent,199,606647.97
PO000356,W030,SUP0047,2025-07-31,Electronics,Bulk,3576,9289060.56
PO000357,W016,SUP0132,2026-04-05,Furniture,Standard,92,303263.55
PO000358,W008,SUP0099,2025-03-20,Grocery,Standard,717,47997.78
PO000359,W027,SUP0040,2025-10-20,Grocery,Bulk,4584,254635.68
