supplier_id,supplier_name,city,supplier_category,reliability_rating,contract_since
SUP0034,Cole PLC,Kolkata,Distributor,4.27,2019-12-22
SUP0035,Ware-Fuentes,Hyderabad,Wholesaler,2.97,2018-04-07
SUP0036,"Ramirez, Perry and Howard",Surat,Manufacturer,3.67,2019-09-21
SUP0037,Rosario-Hernandez,Coimbatore,Wholesaler,3.4,2019-11-03
SUP0038,Hernandez Ltd,Chandigarh,Manufacturer,4.73,2014-04-16
SUP0039,Smith PLC,Jaipur,Distributor,4.88,2019-07-29
SUP0040,Baker Inc,Kolkata,Distributor,3.84,2012-01-16
SUP0041,Barnes LLC,Surat,Wholesaler,4.42,2019-09-19
SUP0042,"Knight, Benton and Vaughn",Chennai,Wholesaler,3.91,2014-09-09
SUP0043,"Clements, Pena and Singh",Lucknow,Importer,4.28,2016-06-20
SUP0044,Lam-Deleon,Surat,Wholesaler,3.62,2021-09-24
SUP0045,"Yates, Long and Ross",Kochi,Manufacturer,3.15,2020-11-16
SUP0046,Olson Group,Coimbatore,Distributor,3.1,2013-11-26
SUP0047,Lee and Sons,Delhi,Manufacturer,4.19,2014-11-06
SUP0048,Martin-Peterson,Hyderabad,Manufacturer,5.0,2022-06-09
SUP0049,Garcia PLC,Pune,Distributor,4.13,2025-05-13
SUP0050,Herrera LLC,Surat,Importer,3.74,2019-11-10
SUP0051,"Johnson, Sawyer and Mendez",Pune,Distributor,4.96,2014-12-09
SUP0052,Walters LLC,Hyderabad,Manufacturer,4.12,2014-04-21
SUP0053,"Diaz, Martinez and Sweeney",Bhopal,Importer,4.05,2015-02-14
SUP0054,Castillo-Collins,Indore,Wholesaler,4.13,2016-05-14
SUP0055,Garcia LLC,Kolkata,Manufacturer,3.93,2016-10-09
SUP0056,"Baker, Poole and Martin",Nagpur,Distributor,3.85,2025-02-25
SUP0057,Harris PLC,Kochi,Manufacturer,3.28,2021-05-25
SUP0058,Thomas-Daniels,Pune,Manufacturer,4.25,2019-12-08
SUP0059,Chang LLC,Coimbatore,Importer,3.95,2023-08-04
SUP0060,"Boyer, Horton and Green",Indore,Wholesaler,4.6,2023-04-02
SUP0061,Odonnell-Kelly,Pune,Distributor,3.82,2023-09-28
SUP0062,Patel PLC,Bhopal,Manufacturer,3.05,2021-11-14
SUP0063,Fields-Austin,Delhi,Distributor,3.95,2015-05-12
SUP0064,Shaffer Group,Delhi,Manufacturer,4.85,2014-09-12
SUP0065,"Pratt, Gonzalez and Vasquez",Visakhapatnam,Manufacturer,3.81,2023-08-17
SUP0066,"Johnson, Johnson and Ramirez",Bhopal,Distributor,3.56,2014-05-19
SUP0067,Lee-Jacobs,Visakhapatnam,Manufacturer,3.4,2016-04-16
SUP0068,West-Giles,Ahmedabad,Manufacturer,3.47,2014-03-11
SUP0069,Friedman-Diaz,Bhopal,Distributor,3.85,2012-08-16
SUP0070,Garcia Group,Chennai,Distributor,3.41,2023-05-04
SUP0071,Morgan Group,Bhopal,Manufacturer,4.75,2018-03-20
SUP0072,"Galloway, Bishop and Smith",Coimbatore,Distributor,3.86,2022-09-21
SUP0073,"Cooper, Day and Davenport",Bhopal,Wholesaler,4.05,2023-09-26
SUP0074,Browning Ltd,Ahmedabad,Wholesaler,4.72,2016-07-17
SUP0075,Woods and Sons,Coimbatore,Manufacturer,4.75,2014-09-23
SUP0076,Mccormick-Cook,Lucknow,Distributor,3.89,2013-08-17
SUP0077,"Foster, Morales and Arroyo",Jaipur,Distributor,4.17,2016-10-08
SUP0078,"Moore, Kaiser and Johnson",Nagpur,Importer,4.37,2015-06-19
SUP0079,"Stein, Drake and Thomas",Chandigarh,Manufacturer,3.9,2015-01-29
SUP0080,"Baird, Sandoval and Bell",Coimbatore,Manufacturer,3.11,2014-02-10
SUP0081,"Kelley, Smith and Lloyd",Lucknow,Wholesaler,4.33,2015-08-26
SUP0082,"Santos, Rose and Peck",Jaipur,Manufacturer,4.45,2021-09-05
SUP0083,Downs-Lee,Bhopal,Distributor,4.21,2021-06-13
SUP0084,Johnson and Sons,Kolkata,Distributor,3.54,2014-01-25
SUP0085,Mason-Gallagher,Chandigarh,Manufacturer,3.9,2024-06-04
SUP0086,Green-Barnes,Coimbatore,Distributor,3.7,2012-05-28
SUP0087,Brown Ltd,Lucknow,Manufacturer,3.85,2018-08-17
SUP0088,Hurst-Bates,Bhopal,Wholesaler,4.65,2014-07-13
SUP0089,"Fisher, Hardin and Shaw",Jaipur,Wholesaler,4.76,2014-05-08
SUP0090,"Hernandez, Dixon and Salas",Chennai,Manufacturer,4.33,2012-11-20
SUP0091,Franklin and Sons,Delhi,Manufacturer,4.27,2014-11-27
SUP0092,Thomas PLC,Indore,Wholesaler,4.34,2017-10-19
SUP0093,"Martinez, Brown and Fleming",Lucknow,Manufacturer,3.99,2023-07-19
SUP0094,"Peters, Mueller and Rodriguez",Surat,Importer,3.96,2014-01-02
SUP0095,"Brown, Lee and Williams",Ahmedabad,Manufacturer,3.66,2016-02-10
SUP0096,Romero PLC,Indore,Wholesaler,3.97,2018-01-12
SUP0097,Wolf Inc,Hyderabad,Distributor,5.0,2017-11-04
SUP0098,Nguyen-Mcpherson,Chennai,Distributor,4.43,2016-12-26
SUP0099,"Hunt, Schwartz and Chavez",Chennai,Manufacturer,3.83,2014-09-23
SUP0100,"Aguirre, Romero and Wright",Coimbatore,Manufacturer,3.76,2024-05-27
SUP0101,"Mcdowell, Dunlap and Green",Indore,Wholesaler,3.57,2018-01-03
SUP0102,"Orozco, Harris and West",Pune,Manufacturer,4.19,2017-05-07
SUP0103,Martinez-Ramos,Mumbai,Wholesaler,4.2,2017-11-15
SUP0104,Lambert Group,Bengaluru,Manufacturer,3.28,2018-12-30
SUP0105,Lewis LLC,Nagpur,Distributor,4.24,2016-08-13
SUP0106,Prince and Sons,Nagpur,Distributor,3.72,2015-12-28
SUP0107,"Schneider, Diaz and King",Ahmedabad,Manufacturer,4.71,2012-05-28
SUP0108,Ponce and Sons,Ahmedabad,Manufacturer,4.08,2012-05-31
SUP0109,"Cisneros, Sanders and Freeman",Bhopal,Distributor,4.86,2016-04-01
SUP0110,"Wall, Martin and Reynolds",Bhopal,Distributor,3.77,2022-01-10
SUP0111,"Powell, Fisher and Kelly",Mumbai,Importer,3.86,2021-09-10
SUP0112,Bowen Inc,Surat,Distributor,4.15,2020-10-25
SUP0113,Spencer-Alexander,Bhopal,Manufacturer,4.53,2016-10-28
SUP0114,Cruz PLC,Jaipur,Manufacturer,4.28,2015-02-18
SUP0115,"Phillips, Yu and Rodriguez",Lucknow,Wholesaler,3.38,2013-03-21
SUP0116,Bonilla Inc,Pune,Manufacturer,4.09,2017-09-24
SUP0117,Baker Inc,Indore,Manufacturer,4.01,2013-11-23
SUP0118,Nelson and Sons,Lucknow,Wholesaler,3.79,2018-04-28
SUP0119,Atkinson-Lowe,Jaipur,Importer,3.68,2013-01-05
SUP0120,Sullivan-Herrera,Coimbatore,Manufacturer,4.87,2018-01-12
SUP0121,"Duncan, Graves and Davis",Coimbatore,Manufacturer,3.8,2020-03-02
SUP0122,Marsh and Sons,Kochi,Wholesaler,3.58,2024-04-08
SUP0123,Woodard-Adams,Kochi,Manufacturer,4.32,2018-12-10
SUP0124,Walters LLC,Kolkata,Distributor,4.07,2012-01-09
SUP0125,Franklin and Sons,Kochi,Distributor,3.96,2022-08-24
SUP0126,Baker Inc,Ahmedabad,Distributor,4.39,2016-07-04
SUP0127,Smith-Gamble,Jaipur,Distributor,4.24,2012-02-10
SUP0128,Mcintosh-Adams,Chennai,Manufacturer,4.18,2014-01-05
SUP0129,Williams Ltd,Pune,Distributor,4.48,2012-12-07
SUP0130,Hurley and Sons,Lucknow,Manufacturer,4.14,2018-10-28
SUP0131,Williams-Harris,Jaipur,Manufacturer,3.69,2023-11-14
SUP0132,Fuller-Schmidt,Pune,Importer,3.82,2025-05-19
SUP0133,Roberts PLC,Lucknow,Importer,3.74,2023-01-31
SUP0134,"Thompson, Reed and Smith",Pune,Manufacturer,4.1,2015-03-31
SUP0135,Johnson-Smith,Bengaluru,Wholesaler,3.46,2023-07-04
SUP0136,"Arnold, Lopez and Wells",Indore,Importer,3.08,2023-05-04
SUP0137,Rodriguez-Fuentes,Pune,Wholesaler,4.04,2023-04-24
SUP0138,Douglas-Gardner,Hyderabad,Wholesaler,3.33,2025-02-05
SUP0139,Waller-Parker,Jaipur,Manufacturer,3.02,2012-12-08
SUP0140,Haas LLC,Pune,Distributor,4.19,2014-05-09
SUP0141,Collier Ltd,Lucknow,Wholesaler,3.64,2024-07-11
SUP0142,"Fields, Sullivan and Bailey",Bengaluru,Distributor,4.25,2023-12-02
SUP0143,Hood Inc,Jaipur,Distributor,3.73,2012-01-28
SUP0144,Garrett LLC,Coimbatore,Importer,3.44,2023-04-13
SUP0145,Martin-Miller,Visakhapatnam,Manufacturer,3.38,2023-10-18
SUP0146,Harrell-Lambert,Chennai,Importer,3.74,2022-08-17
SUP0147,George-Schwartz,Ahmedabad,Wholesaler,3.86,2017-12-15
SUP0148,Stevens and Sons,Jaipur,Importer,3.59,2016-08-08
SUP0149,Griffin-Baker,Jaipur,Importer,3.86,2022-04-29
SUP0150,Kaufman-Payne,Surat,Wholesaler,3.23,2013-09-20
